,Attribute,Indicator,ProgIndicator,Score,Department Code,Course Number,Course Name,Instructor's Last Name,Instructor's First Name,Term,Year,Cohort,Type
769635714,Knowledge Base,Describe the main components of decision analysis,,0.85,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
373048949,Knowledge Base,Describe the main components of decision analysis,,0.72,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
357061292,Knowledge Base,Describe the main components of decision analysis,,0.09,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
837310284,Knowledge Base,Describe the main components of decision analysis,,0.34,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
815854164,Knowledge Base,Describe the main components of decision analysis,,0.91,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
315378369,Knowledge Base,Describe the main components of decision analysis,,0.21,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
564410540,Knowledge Base,Describe the main components of decision analysis,,0.25,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
126539887,Knowledge Base,Describe the main components of decision analysis,,0.29,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
563937624,Knowledge Base,Describe the main components of decision analysis,,0.29,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684291511,Knowledge Base,Describe the main components of decision analysis,,0.33,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
598829620,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.15,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684014860,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.56,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
843228181,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.61,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
820549378,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.32,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
533572169,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.3,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
975325712,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.4,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
310082419,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.04,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
242132470,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.11,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
208248363,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.51,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
277055951,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.26,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
902907559,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.86,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
528297980,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.58,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
444882790,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.05,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
112085131,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.13,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
588642518,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.94,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
414520736,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.81,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
356558346,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.43,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
970698993,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.95,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
633537205,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.36,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
534292868,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.9,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
816787809,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.47,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
220052551,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.74,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
858571733,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.19,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
363436152,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.21,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
393495083,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.91,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
769635714,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.88,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
373048949,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.8,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
357061292,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.1,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
837310284,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.45,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
815854164,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.89,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
315378369,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.12,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
564410540,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.21,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
126539887,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.07,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
563937624,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.05,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684291511,Problem Analysis,Model an optimization problem to replicate a practical situation ,,0.37,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
598829620,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.23,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684014860,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.28,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
843228181,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.43,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
820549378,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.47,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
533572169,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.69,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
975325712,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.61,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
310082419,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.39,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
242132470,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.55,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
208248363,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.6,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
277055951,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.61,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
902907559,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.55,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
528297980,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.72,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
444882790,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.39,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
112085131,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.41,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
588642518,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.4,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
414520736,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.82,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
356558346,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.6,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
970698993,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.63,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
633537205,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.37,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
534292868,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.51,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
816787809,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.55,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
220052551,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.78,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
858571733,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.36,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
363436152,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.52,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
393495083,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.62,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
769635714,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.66,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
373048949,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.68,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
357061292,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.49,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
837310284,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.44,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
815854164,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.47,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
315378369,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.24,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
564410540,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.48,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
126539887,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.57,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
563937624,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.57,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684291511,Problem Analysis,"Critically evaluate solutions, including performing ""reality checks"" on design problems and solutions",,0.7,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
598829620,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.21,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684014860,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.56,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
843228181,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.56,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
820549378,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.31,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
533572169,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.24,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
975325712,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.39,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
310082419,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.09,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
242132470,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.22,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
208248363,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.48,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
277055951,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.2,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
902907559,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.68,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
528297980,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.59,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
444882790,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.07,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
112085131,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.14,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
588642518,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.88,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
414520736,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.64,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
356558346,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.33,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
970698993,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.73,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
633537205,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.3,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
534292868,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.7,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
816787809,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.51,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
220052551,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.59,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
858571733,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.18,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
363436152,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.27,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
393495083,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.73,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
769635714,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.82,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
373048949,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.68,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
357061292,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.2,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
837310284,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.43,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
815854164,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.82,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
315378369,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.18,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
564410540,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.34,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
126539887,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.21,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
563937624,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.09,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684291511,Investigation,Implement data processing techniques to gather necessary information for critiquing an organizational environment,,0.41,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
598829620,Investigation,Recognize and address uncertainty,,0.28,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
